IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
23.165.248.75,23.165.248.75,443,1.58,US,LAX,59.3,66.43
192.9.139.160,192.9.139.160,443,1.57,US,SJC,65.12,72.85
91.149.239.206,91.149.239.206,443,1.57,US,LAX,73.82,86.32
38.146.28.146,38.146.28.146,443,1.54,US,LAX,64.36,67.13
154.64.235.176,154.64.235.176,443,1.54,US,LAX,60.35,73.96
65.49.222.7,65.49.222.7,443,1.48,US,LAX,59.75,73.46
172.245.246.110,172.245.246.110,443,1.47,US,BUF,17.87,71.49
64.118.154.7,64.118.154.7,443,1.47,US,SJC,70.07,81.23
27.50.48.73,20.127.239.249,8443,1.43,US,IAD,10.43,14.16
172.67.208.171,20.127.239.249,2087,1.38,US,IAD,25.96,17.61
38.244.31.27,38.244.31.27,443,1.38,US,LAX,60.78,71.41
38.65.93.86,38.65.93.86,443,1.37,US,LAX,62.14,68.2
104.129.167.255,20.127.239.249,2053,1.34,US,IAD,3.63,27.38
154.64.235.157,154.64.235.157,443,1.31,US,LAX,63.35,94.47
107.175.224.82,107.175.224.82,443,1.29,US,LAX,95.65,88.62
154.211.8.155,20.127.239.249,8443,1.28,US,IAD,4.22,22.41
3.137.145.231,3.137.145.231,443,1.24,US,CMH,20.22,25.85
107.172.87.42,107.172.87.42,443,1.24,US,SJC,74.42,109.44
107.172.87.42,107.172.87.42,8443,1.23,US,SJC,66.48,125.12
154.64.235.158,154.64.235.158,443,1.11,US,LAX,67.15,72.96
96.8.121.109,96.8.121.109,443,1.09,US,SEA,89.67,126.25
45.61.150.169,45.61.150.169,443,1.07,US,LAS,74.31,143.7
72.249.205.12,72.249.205.12,443,1.06,US,LAX,63.96,75.49
154.26.180.8,154.26.180.8,443,1.05,US,LAX,58.97,65.61
